rank,item_name
1,"半額セールで送料無料1,499円！更に2個で500円OFFクーポンあり！天然マグロたたき 極上ねぎとろ 業務用たっぷり500g（約5人前）食べ放題♪ ネギトロ まぐろ たたき マグロ タタキ"
2,"【6/27(日)23:59まで！⇒”半額”値引！クーポン利用で1,180円⇒590円！】国産 雑穀 雑穀米 450g 送料無料 熊本 県産 二十五雑穀米 くまモン 袋 話題 もち麦 発芽玄米 アマランサス 配合 《3-7営業日以内に出荷予定(土日祝日除く)》"
3,"96時間限定★P10倍確定！圧巻の大ボリューム！送料無料9,999円！【鹿児島県産】うなぎ蒲焼き大サイズ約160g前後×5本入り(約10人前)※タレ＆山椒付き【うなぎ】【ウナギ】【鰻】"
4,【期間限定13500円→5880円！紅ショウガ30個おまけ】乳酸菌入り牛めしの具プレミアム仕様30食 1食当たり135g 牛めし 楽天総合ランキング2018年11月4日デイリー1位獲得冷凍食品 冷凍 おかず 冷食 お惣菜 牛丼 肉 業務用 惣菜 絶品 お試し ポイント消化
5,"楽天1位の鹿児島ブランドうなぎ 送料無料2,999円！更に2尾で1,000円OFFクーポンあり！ うなぎ ウナギ 鰻 Shop of the Year受賞"
6,＼500円OFFクーポン／ さくらんぼ 1kg お徳用 佐藤錦 or 紅秀峰 他 山形県産 バラ詰めお一人様2箱まで 家庭用 数量限定 産地直送 訳あり サイズ混合 送料無料 ※遠方へは別途送料がかかります 品種の指定はできません 果物 ふっこう復袋
7,黄金比率 ハンバーグ 20個 業務用 ｜ 送料無料 | 国産 和牛 黒毛和牛 牛肉 父の日ギフト 出産 内祝い 父の日 お中元 プレゼント ギフト お取り寄せ 父の日ギフト 出産内祝い 食べ物 冷凍 グルメ 肉 お肉 肉の日 食品
8,山梨県産 シャインマスカット 1.2キロ (大房2房) 送料無料 ぶどう 葡萄 種無し 皮ごと 話題のぶどう
9,[お中元にも！期間限定！贈答用ボックス付ご用意][11年連続グルメ大賞]特大国産うなぎ蒲焼き3種セット[山椒別売]お中元 早割 ギフト プレゼント 夏ギフト うなぎ ウナギ 鰻 蒲焼き 国内産 国産 土用丑の日 誕生日 お礼 内祝 詰め合わせ 花以外 食べ物[MP][SI][et]
10,【送料無料】無洗米 山形県産 あきたこまち10kg 5kg×2袋 令和2年産【あす楽_土曜営業】[2020グルメ大賞受賞] Shop Of The Year 米大賞 [沖縄離島等一部地域へは別途送料760円]
11,数量限定！！令和2年産　あきたこまち家計お助け米　農家直送便　10kg（5kg×2袋）米びつ当番【天鷹唐辛子】プレゼント付き
12,【送料込み・直送便】●〈551蓬莱〉豚饅・焼売セットBセット[コ]kangl【RCP】【送料込み】 豚まん ぶたまん 肉まん にくまん しゅうまい シューマイ 大阪_Y100830000001_0_0_0
